DATE,FFR,Tbill,Tb1yr,r5,r10,PPINSA,Finished,CPI,CPICORE,M1NSA,M2SA,M2NSA,Unemp,IndProd,RGDP,Potent,Deflator,Curr
1990Q3,8.16,7.48,7.83,8.43,8.7,116.47,119.27,131.53,73.32,813.6,9725.3,3238.83,5.7,62.76,8052.6,8081.3,72.655,270.8
1990Q4,7.74,6.99,7.3,8.03,8.4,119.87,122.17,133.77,73.95,827.8,9797.4,3269.23,6.13,61.77,7982,8138.9,73.239,278.6
1991Q1,6.43,6.02,6.44,7.65,8.02,117.47,121.9,134.77,74.7,829.17,9915.9,3304.93,6.6,60.59,7943.4,8195.3,74.026,285.1
1991Q2,5.86,5.56,6.24,7.78,8.13,116.3,121.43,135.57,75.33,849.63,10028.2,3343.43,6.83,60.96,7997,8250.4,74.553,289.1
1991Q3,5.64,5.38,5.89,7.49,7.94,116.13,121.3,136.6,76.08,863.17,10065.9,3351.07,6.87,61.79,8030.7,8304.9,75.133,294
1991Q4,4.82,4.54,4.87,6.56,7.35,116.23,122.2,137.73,76.73,893.97,10096.9,3370.2,7.1,61.91,8062.2,8359.1,75.569,299.8
1992Q1,4.02,3.89,4.36,6.59,7.3,115.9,122.23,138.67,77.46,920.37,10182.9,3392,7.37,61.84,8150.7,8413.2,75.954,302.6
1992Q2,3.77,3.68,4.22,6.65,7.38,117.17,122.93,139.73,78.04,949.2,10189.6,3397.87,7.6,62.93,8237.3,8467.4,76.423,308
1992Q3,3.26,3.08,3.42,5.61,6.62,117.87,123.47,140.8,78.51,971.6,10200.1,3396.03,7.63,63.38,8322.3,8522,76.778,315.9
1992Q4,3.04,3.07,3.56,5.91,6.74,117.83,124.17,142.03,79.01,1022.6,10271.5,3430,7.37,64.02,8409.8,8577.4,77.214,325.1
1993Q1,3.04,2.96,3.41,5.48,6.28,118.37,124.7,143.07,79.45,1030.73,10241.2,3410.03,7.13,64.57,8425.3,8634.5,77.677,330.5
1993Q2,3,2.97,3.38,5.18,5.99,119.5,125.53,144.1,79.95,1062,10286,3430.03,7.07,64.74,8479.2,8692.8,78.106,339
1993Q3,3.06,3,3.42,4.95,5.62,118.87,124.37,144.77,80.32,1090,10334.4,3440.63,6.8,65.06,8523.8,8752.4,78.466,348.5
1993Q4,2.99,3.06,3.53,4.97,5.61,118.9,124.33,145.97,80.7,1131.3,10395.8,3472.43,6.63,66.03,8636.4,8813.2,78.897,357.4
1994Q1,3.21,3.24,3.91,5.48,6.07,119.37,124.97,146.7,81.1,1132.2,10425.5,3470.37,6.57,66.86,8720.5,8875.3,79.311,364.5
1994Q2,3.94,3.99,5.13,6.67,7.08,120.03,125.13,147.53,81.62,1142,10452.5,3485.4,6.2,68.08,8839.8,8938.6,79.689,374.7
1994Q3,4.49,4.48,5.6,6.96,7.33,120.97,125.93,148.9,82.17,1147.13,10458.5,3482.9,6,68.94,8896.7,9003,80.163,384.7
1994Q4,5.17,5.28,6.6,7.63,7.84,121.43,126.07,149.77,82.6,1159.53,10455.8,3491.87,5.63,70.3,8995.5,9068.6,80.576,393.9
1995Q1,5.81,5.74,6.73,7.39,7.48,123.43,127.17,150.87,83.08,1144.7,10468.9,3485.63,5.47,71.17,9017.6,9135.2,81.038,398.8
1995Q2,6.02,5.6,5.97,6.4,6.62,124.93,127.77,152.1,83.58,1145.1,10566.5,3523.03,5.67,71.38,9037,9203.2,81.397,407.6
1995Q3,5.8,5.37,5.65,6.08,6.32,125.2,128,152.87,83.99,1141.13,10752.7,3581.23,5.67,72.05,9112.9,9272.3,81.78,410.7
