Date,Open,High,Low,Close,Volume,Adj Close
2/4/15,207,208.350006,206.759995,207.759995,2798100,204.111579
1/4/15,207.770004,207.779999,205.880005,207.179993,6568300,203.541763
31/3/15,208.639999,209.490005,207.759995,207.830002,3409700,204.180357
30/3/15,208.350006,209.990005,208.350006,209.619995,3308800,205.938917
27/3/15,206.529999,207.330002,206.289993,207.100006,2208600,203.463181
26/3/15,206.350006,207.740005,205.5,206.679993,4182600,203.050543
25/3/15,210.470001,210.770004,207.110001,207.190002,4066700,203.551597
24/3/15,212.220001,212.820007,211.149994,211.169998,4224100,206.477307
23/3/15,212.860001,213.529999,212.440002,212.5,2388300,207.777753
20/3/15,212.119995,213.449997,212.039993,212.850006,3179400,208.119981
19/3/15,211.449997,211.779999,210.520004,210.990005,3664700,206.301314
18/3/15,208.869995,212.759995,208.080002,211.899994,5602300,207.19108
17/3/15,209.210007,209.889999,208.449997,209.429993,3231900,204.775968
16/3/15,208.169998,210.149994,208.139999,210.139999,3195600,205.470197
13/3/15,208.199997,208.389999,206.009995,207.270004,4123500,202.66398
12/3/15,206.699997,208.630005,206.630005,208.550003,4477200,203.915534
11/3/15,206.740005,206.940002,205.830002,205.979996,2934100,201.402638
10/3/15,208.169998,208.229996,206.399994,206.419998,4051500,201.832863
9/3/15,209.179993,210.240005,209.100006,209.850006,2579300,205.186648
6/3/15,210.899994,211.419998,208.559998,208.979996,6450200,204.335971
5/3/15,212.110001,212.279999,211.350006,211.929993,2937500,207.220412
4/3/15,211.910004,211.970001,210.550003,211.710007,4795800,207.005315
3/3/15,212.970001,213.070007,211.570007,212.600006,3137300,207.875536
2/3/15,212.270004,213.559998,212.25,213.559998,8313900,208.814195
27/2/15,212.770004,213.089996,212.149994,212.210007,3932500,207.494204
26/2/15,213.059998,213.190002,212.160004,212.910004,4450300,208.178645
25/2/15,213.160004,213.740005,212.729996,213.149994,2066100,208.413302
24/2/15,212.619995,213.550003,212.270004,213.309998,2244700,208.56975
23/2/15,212.440002,212.710007,211.970001,212.669998,2630500,207.943973
20/2/15,210.940002,212.800003,210.229996,212.740005,4613500,208.012425
19/2/15,210.919998,211.899994,210.720001,211.449997,2185200,206.751083
18/2/15,211.130005,211.699997,210.820007,211.619995,2141000,206.917304
17/2/15,210.889999,211.800003,210.589996,211.660004,2256100,206.956423
13/2/15,210.509995,211.309998,210.240005,211.279999,3099400,206.584863
12/2/15,209.380005,210.449997,209.149994,210.330002,4695500,205.655977
11/2/15,208.070007,208.889999,207.270004,208.389999,7154900,203.759086
10/2/15,207.330002,208.570007,206.259995,208.289993,2888300,203.661302
9/2/15,206.210007,207.089996,205.580002,206.059998,6166700,201.480862
6/2/15,208.020004,208.720001,206.399994,206.949997,3844700,202.351084
5/2/15,206.320007,207.740005,206.229996,207.619995,7029700,203.006193
4/2/15,205.389999,206.820007,204.960007,205.470001,6147000,200.903977
3/2/15,204.419998,206.289993,204,206.199997,3616700,201.61775
2/2/15,201.479996,203.429993,199.270004,203.309998,4535100,198.791974
30/1/15,201.990005,203.580002,200.539993,200.869995,9675500,196.406194
29/1/15,201.729996,203.720001,200.080002,203.449997,7315800,198.928862
28/1/15,205.630005,205.720001,201.330002,201.520004,6542800,197.041758
27/1/15,204.440002,205.550003,203.149994,204.160004,5848900,199.623091
26/1/15,206.179993,207.009995,205.289993,206.940002,3336100,202.341311
23/1/15,207.199997,207.539993,206.240005,206.389999,4820000,201.803531
22/1/15,205.440002,207.710007,203.759995,207.5,4845500,202.888864
21/1/15,202.919998,205.070007,202.369995,204.5,5354100,199.955531
20/1/15,203.789993,204.119995,201.589996,203.5,3629000,198.977754
16/1/15,200.179993,203.229996,199.949997,203,4981700,198.488865
15/1/15,203.029999,203.419998,200.279999,200.429993,8726300,195.975969
14/1/15,201.050003,202.490005,199.970001,202.330002,8016900,197.833756
13/1/15,205.559998,206.910004,201.949997,203.559998,8469300,199.036418
12/1/15,205.850006,206.029999,203.350006,204.089996,3501600,199.554639
9/1/15,207.839996,207.850006,204.949997,205.649994,4394600,201.07997
8/1/15,205.449997,207.589996,205.429993,207.399994,4683200,202.791081
7/1/15,202.839996,204.139999,202.300003,203.759995,3563300,199.231971
6/1/15,203.509995,204.119995,200.25,201.270004,8019800,196.797314
5/1/15,205.619995,205.789993,202.759995,203.100006,9582600,198.586649
2/1/15,207.839996,208.320007,205.639999,206.729996,3400700,202.135971
31/12/14,209.460007,209.660004,206.839996,206.869995,5125200,202.27286
30/12/14,209.690002,209.820007,208.970001,209.009995,2955400,204.365303
29/12/14,209.639999,210.419998,209.630005,210.210007,3383000,205.538648
26/12/14,209.75,210.309998,209.720001,209.850006,1611800,205.186648
24/12/14,209.509995,209.800003,209.179993,209.289993,1828900,204.63908
23/12/14,210.759995,210.809998,210.070007,210.320007,3431600,204.567716
22/12/14,209.289993,210,209.009995,209.990005,4444000,204.24674
19/12/14,208.960007,209.880005,208.179993,209.009995,5108100,203.293532
18/12/14,206.139999,208.169998,205.289993,208.110001,10987500,202.418153
17/12/14,199.779999,203.669998,199.600006,203.130005,6646100,197.574361
16/12/14,199.899994,203.710007,199.160004,199.259995,12389900,193.810196
15/12/14,203.360001,203.880005,200.100006,200.820007,6440300,195.327543
12/12/14,204.029999,205.179993,202.190002,202.25,5887900,196.718425
11/12/14,205.270004,207.559998,205.059998,205.539993,5242400,199.918436
10/12/14,207.289993,207.350006,204.279999,204.600006,4952600,199.004158
9/12/14,205.759995,207.990005,205.270004,207.839996,4060200,202.155534
8/12/14,208.949997,209.509995,207.309998,207.979996,3487800,202.291704
5/12/14,209.279999,209.880005,208.949997,209.440002,2796200,203.711779
4/12/14,208.940002,209.660004,208.089996,209.050003,3511800,203.332446
3/12/14,208.669998,209.539993,208.5,209.300003,2850000,203.575609
2/12/14,207.179993,208.729996,207.179993,208.479996,2508100,202.778029
1/12/14,207.809998,207.899994,206.75,207.179993,3774900,201.513581
28/11/14,208.880005,209.270004,208.320007,208.580002,2406100,202.8753
26/11/14,208.669998,209.149994,208.429993,209.039993,2496400,203.32271
25/11/14,208.970001,209.199997,208.210007,208.539993,4036200,202.836385
24/11/14,208.610001,208.800003,208.320007,208.679993,2382900,202.972556
21/11/14,209.050003,209.110001,207.369995,208.039993,8772000,202.350061
20/11/14,205.600006,207.080002,205.539993,206.919998,3161500,201.260697
19/11/14,206.660004,206.929993,205.679993,206.600006,4025500,200.949457
18/11/14,205.789993,207.300003,205.789993,206.910004,7502400,201.250976
17/11/14,205.160004,205.949997,205.020004,205.660004,2729200,200.035164
14/11/14,205.490005,205.839996,205.089996,205.580002,2308400,199.95735
13/11/14,205.550003,206.210007,204.589996,205.490005,2557100,199.869815
12/11/14,204.729996,205.600006,204.669998,205.360001,3229200,199.743366
11/11/14,205.410004,205.669998,205.009995,205.520004,2509000,199.898994
